Team,Name,Age,G,GS,MP,FG,FGpct,threeP,threePpct,twoP,twoPpct,eFGpct,FT,FTpct,ORB,DRB,AST,STL,BLK,TOV,Pfoul,PTSperG,PG,PF,SG,SF,C,Exp,Salary
MIL,Giannis Antetokounmpo,25,63,63,30.4,10.9,0.553,1.4,0.304,9.5,0.631,0.589,6.3,0.633,2.2,11.4,5.6,1,1,3.7,3.1,29.5,0,1,0 ,0,0,6,25842697
MIL,Khris Middleton,28,62,59,29.9,7.6,0.497,2.4,0.415,5.2,0.546,0.575,3.4,0.916,0.7,5.5,4.3,0.9,0.1,2.2,2.3,20.9,0,0,0 ,1,0,7,30603448
MIL,Eric Bledsoe,30,61,61,27,5.5,0.475,1.2,0.344,4.3,0.533,0.528,2.8,0.79,0.7,3.9,5.4,0.9,0.4,2.4,2.1,14.9,1,0,0 ,0,0,9,15625000
MIL,Brook Lopez,31,68,67,26.7,4.3,0.435,1.5,0.314,2.8,0.549,0.511,1.9,0.836,0.9,3.7,1.5,0.7,2.4,1,2.4,12,0,0,0 ,0,1,11,12093024
MIL,Wesley Matthews,33,67,67,24.4,2.5,0.396,1.6,0.364,0.9,0.472,0.524,0.8,0.765,0.3,2.1,1.4,0.6,0.1,0.6,1.5,7.4,0,0,1 ,0,0,10,2564753
MIL,Donte DiVincenzo,23,66,24,23,3.5,0.455,1.3,0.336,2.3,0.567,0.536,1,0.733,1,3.8,2.3,1.3,0.3,1.4,1.7,9.2,0,0,1 ,0,0,1,2905800
MIL,George Hill,33,59,2,21.5,3.3,0.516,1.4,0.46,1.9,0.565,0.624,1.4,0.842,0.8,2.2,3.1,0.8,0.1,1,1.4,9.4,1,0,0 ,0,0,11,10133907
MIL,Marvin Williams,33,17,0,18.9,1.5,0.439,0.7,0.308,0.8,0.722,0.544,0.4,0.857,0.9,3.5,1.1,0.6,0.5,0.5,1.9,4,0,1,0 ,0,0,14,956349
MIL,Pat Connaughton,27,67,4,18.6,2,0.455,0.8,0.331,1.2,0.607,0.547,0.5,0.775,0.9,3.3,1.6,0.4,0.5,0.8,1,5.4,0,0,1 ,0,0,4,1723050
MIL,Kyle Korver,38,58,1,16.6,2.2,0.43,1.7,0.418,0.5,0.482,0.599,0.6,0.854,0.3,1.8,1.2,0.4,0.2,0.8,1.3,6.7,0,0,0 ,1,0,16,2564753
MIL,Ersan İlyasova,32,63,8,15.7,2.3,0.466,0.8,0.365,1.5,0.545,0.546,1.1,0.828,1,3.8,0.8,0.4,0.3,0.5,1.5,6.6,0,1,0 ,0,0,11,7000000
MIL,Sterling Brown,24,52,1,14.8,1.8,0.371,0.8,0.324,1,0.425,0.457,0.6,0.8,0.6,2.9,1,0.6,0.1,0.8,1,5.1,0,0,0 ,1,0,2,1618520
